,Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
95,Four-Door Car,Extended,Offer1,Employed,Married,College,2.0,76.0,199.79727,88592.0,18321.41903
96,Four-Door Car,Basic,Offer1,Retired,Married,College,2.0,63.0,302.4,26806.0,7019.177186
97,Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,1.0,80.0,384.0,23656.0,2926.5223
98,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,3.0,73.0,41.464402,94527.0,5860.16743
99,Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2.0,72.0,345.6,44096.0,25253.10198
100,Sports Car,Premium,Offer2,Employed,Single,College,1.0,154.0,739.2,66839.0,5989.773931
101,Four-Door Car,Premium,Offer1,Medical Leave,Married,Bachelor,5.0,119.0,571.2,18643.0,9320.240511
102,Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,2.0,69.0,460.741097,0.0,7587.337272
103,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3.0,74.0,532.8,0.0,5153.91989
104,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,4.0,61.0,206.810286,58682.0,4883.805481
105,Two-Door Car,Premium,Offer1,Employed,Married,Bachelor,2.0,110.0,199.851173,87002.0,26576.31541
106,Two-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,1.0,111.0,799.2,0.0,3819.619502
107,Two-Door Car,Basic,Offer2,Employed,Married,Doctor,2.0,63.0,142.205246,47725.0,15119.55539
108,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,9.0,84.0,114.815893,22244.0,6686.128629
109,Two-Door Car,Premium,Offer4,Employed,Single,Master,1.0,110.0,44.284642,26245.0,4271.200049
110,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,70.0,336.0,61085.0,2764.493659
111,Luxury Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,189.0,1823.730828,0.0,6297.002886
112,SUV,Extended,Offer3,Unemployed,Single,College,1.0,130.0,936.0,0.0,4620.390087
113,Sports Car,Basic,Offer2,Employed,Married,College,4.0,109.0,400.181882,62464.0,8658.863813
114,SUV,Premium,Offer2,Employed,Married,College,2.0,161.0,772.8,48367.0,57520.50151
115,Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,2.0,116.0,556.8,59207.0,13770.97618
116,Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1.0,101.0,668.773522,75007.0,3985.547406
117,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,6.0,70.0,336.0,72874.0,5630.793
118,Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,2.0,88.0,631.743039,72540.0,10656.88195
119,Four-Door Car,Extended,Offer2,Medical Leave,Married,Bachelor,1.0,93.0,446.4,19861.0,3534.337809
120,SUV,Basic,Offer4,Employed,Married,Master,3.0,113.0,766.519022,20290.0,9079.823377
121,Four-Door Car,Extended,Offer1,Retired,Single,College,3.0,86.0,412.8,13528.0,6005.847375
122,SUV,Basic,Offer1,Employed,Married,Bachelor,4.0,113.0,542.4,63800.0,9050.756606
123,Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,73.0,525.6,0.0,2467.459952
124,Four-Door Car,Extended,Offer1,Employed,Married,College,2.0,87.0,384.695536,56480.0,10330.43794
125,Sports Car,Extended,Offer2,Employed,Married,College,1.0,136.0,57.712985,66429.0,5389.499465
126,Four-Door Car,Basic,Offer1,Medical Leave,Married,Doctor,1.0,71.0,125.510669,16686.0,2744.172816
127,Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1.0,70.0,65.954813,49648.0,2755.747968
128,SUV,Basic,Offer1,Unemployed,Single,High School or Below,6.0,106.0,850.593038,0.0,7516.786075
129,Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,5.0,73.0,350.4,0.0,4462.997006
130,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,64.0,401.592109,33906.0,7579.532717
131,Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,8.0,93.0,669.6,0.0,6722.701247
132,Two-Door Car,Basic,Offer1,Medical Leave,Single,High School or Below,2.0,70.0,75.393383,13164.0,18061.91837
133,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,99.0,707.303416,24204.0,3864.776795
134,Two-Door Car,Basic,Offer4,Employed,Married,Doctor,2.0,72.0,89.921281,69704.0,8653.562027
135,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1.0,76.0,364.8,78310.0,3056.990764
136,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,9.0,61.0,40.562432,61613.0,4825.651946
137,Four-Door Car,Basic,Offer1,Unemployed,Married,College,2.0,69.0,454.3585,0.0,10369.3874
138,SUV,Basic,Offer4,Employed,Married,Master,1.0,111.0,459.738128,94656.0,4479.023088
139,Two-Door Car,Extended,Offer4,Unemployed,Single,College,1.0,76.0,547.2,0.0,2710.918992
140,Four-Door Car,Basic,Offer2,Employed,Married,Doctor,7.0,71.0,259.591385,77221.0,5789.8509
141,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1.0,63.0,302.4,99824.0,2538.857089
142,Two-Door Car,Basic,Offer3,Employed,Divorced,Doctor,6.0,73.0,343.278996,61776.0,5743.403321
143,Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,3.0,65.0,312.0,17622.0,4458.113369
144,Four-Door Car,Basic,Offer1,Employed,Married,Master,2.0,67.0,321.6,44320.0,8044.73072
145,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,2.0,65.0,425.358596,20497.0,7785.666532
146,Two-Door Car,Premium,Offer1,Employed,Married,Bachelor,1.0,105.0,588.265049,59038.0,4236.468669
147,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,62.0,7.646763,29486.0,2457.440923
148,Four-Door Car,Extended,Offer3,Employed,Married,College,7.0,82.0,275.395894,61709.0,6410.967544
149,Four-Door Car,Extended,Offer1,Unemployed,Divorced,Master,7.0,84.0,403.2,0.0,6172.392406
150,SUV,Premium,Offer4,Disabled,Divorced,College,1.0,165.0,956.589903,26303.0,5999.380228
151,Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1.0,71.0,340.8,0.0,2631.564135
152,Two-Door Car,Extended,Offer1,Employed,Single,College,3.0,96.0,354.530239,61160.0,7409.083969
153,Four-Door Car,Basic,Offer4,Unemployed,Married,Bachelor,1.0,61.0,437.040616,0.0,2141.750757
154,SUV,Basic,Offer1,Retired,Divorced,College,3.0,106.0,508.8,21073.0,7805.31287
155,Two-Door Car,Basic,Offer4,Unemployed,Single,College,3.0,71.0,697.186307,0.0,4645.839058
156,SUV,Extended,Offer3,Employed,Divorced,College,1.0,127.0,609.6,21385.0,4953.086407
157,Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,2.0,69.0,222.791933,59597.0,8267.848845
158,Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9.0,63.0,302.4,22571.0,4605.036646
159,Four-Door Car,Basic,Offer3,Employed,Married,College,9.0,70.0,336.0,59782.0,5626.572446
160,Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,4.0,74.0,98.198664,48278.0,5932.560456
161,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,1.0,62.0,297.6,27615.0,2389.980951
162,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8.0,64.0,326.660051,38928.0,4988.579794
163,Two-Door Car,Premium,Offer4,Employed,Divorced,Bachelor,1.0,119.0,803.686321,30383.0,4655.209814
164,Four-Door Car,Basic,Offer3,Employed,Married,Doctor,1.0,72.0,243.598068,44084.0,2874.074736
165,Four-Door Car,Basic,Offer1,Employed,Married,Master,3.0,68.0,326.4,56005.0,5479.555081
166,Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,5.0,113.0,695.136477,97745.0,9043.678095
167,SUV,Premium,Offer1,Unemployed,Single,Bachelor,2.0,159.0,1410.16929,0.0,15994.008
168,Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,3.0,76.0,364.8,97658.0,6159.011684
169,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8.0,66.0,130.697268,66203.0,5297.918924
170,SUV,Extended,Offer3,Medical Leave,Married,College,3.0,124.0,892.8,15406.0,9546.81655
171,Two-Door Car,Premium,Offer1,Employed,Married,College,3.0,101.0,484.8,34335.0,8023.075248
172,Four-Door Car,Basic,Offer3,Employed,Married,College,2.0,61.0,292.8,29491.0,7347.410517
173,Two-Door Car,Basic,Offer1,Medical Leave,Married,College,5.0,71.0,152.216871,26441.0,5553.801956
174,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,71.0,134.158389,80590.0,2891.272351
175,Four-Door Car,Extended,Offer4,Employed,Divorced,Master,4.0,80.0,178.371281,21020.0,6185.337641
176,Four-Door Car,Extended,Offer1,Unemployed,Married,College,2.0,86.0,412.8,0.0,9006.598402
177,Sports Car,Basic,Offer1,Unemployed,Single,College,7.0,113.0,733.737214,0.0,7294.492993
178,SUV,Extended,Offer4,Employed,Single,College,9.0,125.0,1224.56345,29504.0,9656.212573
179,Four-Door Car,Basic,Offer4,Unemployed,Married,College,2.0,69.0,331.2,0.0,7377.231238
180,Two-Door Car,Basic,Offer1,Employed,Divorced,Doctor,3.0,64.0,229.272206,73740.0,5124.218174
181,Luxury SUV,Basic,Offer1,Employed,Single,Bachelor,5.0,181.0,868.8,42780.0,13798.47871
182,Sports Car,Basic,Offer2,Unemployed,Married,High School or Below,3.0,119.0,571.2,0.0,9048.983447
183,Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,96.0,679.392372,26318.0,3785.754787
184,Two-Door Car,Extended,Offer1,Retired,Married,High School or Below,7.0,90.0,432.0,21835.0,6715.59268
185,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,8.0,65.0,41.016038,37874.0,5258.251562
186,Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3.0,71.0,340.8,74454.0,5595.389905
187,SUV,Premium,Offer1,Unemployed,Single,College,4.0,146.0,1051.2,0.0,9553.415528
189,SUV,Basic,Offer1,Unemployed,Single,Bachelor,3.0,115.0,987.293841,0.0,7521.282545
190,Two-Door Car,Basic,Offer1,Unemployed,Married,College,2.0,74.0,426.655599,0.0,8487.238032
191,SUV,Basic,Offer3,Unemployed,Married,College,1.0,119.0,571.2,0.0,4025.095533
192,Two-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,2.0,89.0,640.8,0.0,10004.74874
193,Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,2.0,106.0,508.8,61844.0,12622.83268
194,SUV,Basic,Offer2,Medical Leave,Married,College,2.0,100.0,1177.323534,16266.0,11513.35549
195,Luxury Car,Basic,Offer1,Employed,Married,College,2.0,187.0,897.6,80355.0,22235.01011
196,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,6.0,62.0,567.343266,0.0,4463.607161
197,Two-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1.0,67.0,321.6,12222.0,2461.797738
198,Four-Door Car,Premium,Offer1,Disabled,Divorced,Master,1.0,108.0,518.4,11621.0,4059.567414
199,Luxury Car,Extended,Offer2,Employed,Married,College,2.0,209.0,1003.2,21988.0,41075.42879
200,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,62.0,208.598246,63860.0,2472.469209
201,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,5.0,72.0,518.4,0.0,5121.563312
202,Four-Door Car,Premium,Offer3,Disabled,Married,College,2.0,102.0,500.254235,29879.0,11727.77648
203,Two-Door Car,Extended,Offer2,Retired,Married,Bachelor,9.0,83.0,398.4,27681.0,6057.07208
204,Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2.0,65.0,240.186527,36776.0,7792.067056
205,Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,1.0,109.0,523.2,36692.0,4276.363627
206,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2.0,88.0,152.338562,39102.0,10481.94383
207,Four-Door Car,Basic,Offer1,Medical Leave,Married,College,4.0,63.0,102.879769,16531.0,4812.525221
208,Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,68.0,323.246017,99205.0,2735.538859
209,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2.0,69.0,69.004181,66037.0,8209.924674
210,Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,4.0,66.0,243.766542,62470.0,5325.394799
211,SUV,Extended,Offer1,Unemployed,Single,College,3.0,125.0,600.0,0.0,8672.814261
212,Four-Door Car,Basic,Offer2,Employed,Married,College,4.0,62.0,117.998498,52679.0,4964.63152
213,Sports Car,Basic,Offer1,Employed,Married,High School or Below,1.0,119.0,603.110961,92324.0,4758.470236
214,SUV,Basic,Offer1,Employed,Divorced,College,1.0,118.0,566.4,39187.0,4563.018085
215,Four-Door Car,Premium,Offer4,Employed,Married,High School or Below,2.0,104.0,640.584145,27607.0,28511.03331
216,Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,74.0,5.622751,23333.0,2974.314896
217,Four-Door Car,Basic,Offer2,Unemployed,Single,College,2.0,74.0,680.753091,0.0,16236.47626
218,SUV,Basic,Offer1,Unemployed,Single,Bachelor,1.0,107.0,770.4,0.0,3312.253233
219,SUV,Basic,Offer1,Unemployed,Married,Bachelor,1.0,116.0,765.566699,0.0,4303.471379
220,SUV,Basic,Offer1,Employed,Divorced,Bachelor,2.0,118.0,232.674417,90844.0,14134.3474
221,SUV,Basic,Offer2,Unemployed,Single,Bachelor,1.0,117.0,561.6,0.0,3974.13815
222,SUV,Basic,Offer1,Unemployed,Single,Bachelor,7.0,104.0,499.2,0.0,7247.313475
223,Four-Door Car,Extended,Offer2,Employed,Divorced,College,2.0,89.0,49.451117,61108.0,10484.91535
224,Two-Door Car,Extended,Offer2,Employed,Married,College,5.0,76.0,206.709951,70892.0,6089.77238
225,Sports Car,Basic,Offer1,Employed,Single,College,1.0,104.0,499.2,30061.0,4061.997378
226,Four-Door Car,Extended,Offer2,Employed,Married,College,6.0,77.0,369.6,34112.0,6140.242989
227,Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,2.0,114.0,820.8,0.0,11880.96623
228,Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,9.0,113.0,542.4,34337.0,9035.671134
229,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,66.0,182.927837,64987.0,2659.495086
230,SUV,Basic,Offer3,Employed,Divorced,College,1.0,114.0,392.925712,91485.0,4571.509384
231,SUV,Basic,Offer2,Employed,Married,College,5.0,116.0,556.8,37937.0,9095.049868
232,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,67.0,321.6,22862.0,7937.064822
233,Four-Door Car,Extended,Offer3,Employed,Married,College,1.0,79.0,47.22861,24019.0,3141.333694
234,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,73.0,138.130879,43836.0,2813.692575
235,Luxury SUV,Premium,Offer4,Employed,Married,College,2.0,283.0,1358.4,77237.0,56675.93768
236,Four-Door Car,Premium,Offer3,Unemployed,Single,High School or Below,1.0,108.0,912.581597,0.0,3923.265453
237,Two-Door Car,Basic,Offer2,Employed,Married,Master,7.0,70.0,72.617605,90353.0,5680.467468
238,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2.0,74.0,60.090984,97736.0,8954.840118
239,SUV,Premium,Offer2,Medical Leave,Married,College,1.0,150.0,720.0,12811.0,5253.487908
240,SUV,Basic,Offer2,Employed,Married,College,1.0,111.0,313.270725,80640.0,4408.071476
241,SUV,Basic,Offer2,Employed,Single,Master,1.0,107.0,513.6,29462.0,4170.687348
242,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,2.0,93.0,310.36774,88858.0,11255.46343
243,Sports Car,Basic,Offer3,Employed,Married,Bachelor,1.0,106.0,441.907057,44537.0,4247.683347
244,Two-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,7.0,92.0,428.064465,0.0,6900.951275
245,Luxury SUV,Basic,Offer2,Unemployed,Married,Bachelor,1.0,191.0,1317.008182,0.0,6847.588918
246,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,74.0,84.494022,71663.0,20998.25947
247,Two-Door Car,Extended,Offer1,Unemployed,Single,College,1.0,91.0,655.2,0.0,3297.904615
248,Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,1.0,65.0,724.463534,19352.0,2467.620791
249,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1.0,72.0,345.6,0.0,2558.178159
250,SUV,Basic,Offer1,Employed,Married,High School or Below,1.0,110.0,303.872752,58577.0,4428.031583
251,Luxury Car,Basic,Offer3,Employed,Single,Bachelor,1.0,187.0,896.436023,74335.0,7372.230729
252,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,65.0,312.0,99841.0,2632.552578
253,Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,9.0,64.0,607.733606,0.0,4758.564558
254,Four-Door Car,Extended,Offer2,Medical Leave,Married,High School or Below,1.0,77.0,369.6,12048.0,2910.317298
255,SUV,Basic,Offer2,Employed,Married,High School or Below,3.0,100.0,844.229478,29066.0,7998.143771
257,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2.0,99.0,425.527151,55805.0,12045.67286
